,Name,Date & Time,Location,Type,Region
20,Django’s Birthday Concert with Ranger and the Re-Arrangers,1/28/2024,The Royal Room,Music,South Seattle
21,Family Day with Birds Connect Seattle,1/28/2024,National Nordic Museum,Museums,Fremont / Ballard
22,Fossil Finders | Ice Ages,1/28/2024,Burke Museum,Museums,University District
23,Seattle Kraken vs. Columbus Blue Jackets,1/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
24,Tacoma Stars vs. San Diego Sockers,1/28/2024,accesso ShoWare Center,Sports,South
25,Adira Sharkey,1/29/2024,Tractor Tavern,Music,Fremont / Ballard
26,"Car, The Garden",1/29/2024,The Crocodile,Music,Downtown
27,Walla Walla Wine On Tour,1/29/2024,Marion Oliver McCaw Hall,Festivals & Special Events,Queen Anne / Seattle Center
28,Cheryl Wheeler,1/30/2024,The Triple Door,Music,Downtown
29,Giantish,1/30/2024,High Dive,Music,Fremont / Ballard
30,Seattle Thunderbirds vs. Prince George Cougars,1/30/2024,accesso ShoWare Center,Sports,South
31,A/political Rocks,Now through 1/31/2024,Henry Art Gallery,Museums,University District
32,Sophia Al-Maria,Now through 1/31/2024,Henry Art Gallery,Museums,University District
33,Jahari Stampley,1/30/2024 through 1/31/2024,Dimitriou's Jazz Alley,Music,Downtown
34,FRAKTURED: Home of the Broken Beat,1/31/2024,High Dive,Music,Fremont / Ballard
35,G3- 25th Anniversary reunion,1/31/2024,The Moore Theatre,Music,Downtown
36,JP Saxe,1/31/2024,The Showbox,Music,Downtown
37,Los Lobos,1/31/2024,The Triple Door,Music,Downtown
38,The Daimonics,1/31/2024,The Royal Room,Music,South Seattle
39,BabyTron,2/1/2024,The Showbox,Music,Downtown
40,Battlestar Kalakala,2/1/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
41,Catalyzing Change with Akuyea Karen Vargas,2/1/2024,Bainbridge Island Museum of Art,Readings & Lectures,West
42,Exceptional Failures,2/1/2024,Tractor Tavern,Music,Fremont / Ballard
43,Jamila Woods,2/1/2024,Neumos,Music,Capitol Hill / Central District
44,Jazz is Dead: Blue Note 85,2/1/2024,The Neptune Theatre,Music,University District
45,Michelle Cann,2/1/2024,Meany Center for the Performing Arts,Music,University District
46,Pakt,2/1/2024,Funhouse,Music,Capitol Hill / Central District
47,Public Theatre,2/1/2024,Barboza,Music,Capitol Hill / Central District
48,American Flats Album Release,2/2/2024,The Royal Room,Music,South Seattle
49,Erik Walters,2/2/2024,Barboza,Music,Capitol Hill / Central District
50,Memoir,2/2/2024,Benaroya Hall,Music,Downtown
51,Nora En Pure,2/2/2024,Showbox SoDo,Music,Pioneer Square
52,Poolside,2/2/2024,The Showbox,Music,Downtown
53,Tacoma Stars vs. Monterrey Flash,2/2/2024,accesso ShoWare Center,Sports,South
54,Jaha Koo: The History of Korean Western Theatre,2/1/2024 through 2/3/2024,On The Boards,Theatre,Queen Anne / Seattle Center
55,The Winds: Medley of Emotions,2/2/2024 through 2/3/2024,Benaroya Hall,Music,Downtown
56,All Will Suffer,2/3/2024,Funhouse,Music,Capitol Hill / Central District
57,Banned & Beloved,2/3/2024,Town Hall Seattle,Music,Downtown
58,Cold War Kids – 20 Years Tour,2/3/2024,The Moore Theatre,Music,Downtown
59,Mau P,2/3/2024,The Showbox,Music,Downtown
60,Oble,2/3/2024,Barboza,Music,Capitol Hill / Central District
61,Randy Rainbow for President,2/3/2024,The Paramount Theatre,Theatre,Downtown
62,The Delta Bombers,2/3/2024,El Corazon,Music,Downtown
63,The Grave Plot Film Fest part 6,2/3/2024,Ark Lodge Cinemas,Film & Media Arts,South Seattle
64,Seattle Chamber Music Winter Festival,Now through 2/4/2024,Benaroya Hall,Music,Downtown
65,Beethoven Emperor Concerto,2/1/2024 through 2/4/2024,Benaroya Hall,Music,Downtown
66,Sergio Mendes,2/1/2024 through 2/4/2024,Dimitriou's Jazz Alley,Music,Downtown
67,Daniel Tiger’s Neighborhood,2/4/2024,The Paramount Theatre,Theatre,Downtown
68,Family Art Day: La Vaughn Belle,2/4/2024,National Nordic Museum,Museums,Fremont / Ballard
69,Lil Skies,2/4/2024,The Showbox,Music,Downtown
70,Secular and Sacred,2/4/2024,Town Hall Seattle,Music,Downtown
71,Criminal,2/5/2024,The Moore Theatre,Theatre,Downtown
72,Neck Deep,2/5/2024,Showbox SoDo,Music,Pioneer Square
73,Kazu Kibuishi with Donna Barba Higuera,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown
74,Kristin Hannah,2/6/2024,Benaroya Hall,Readings & Lectures,Downtown
75,Michael J. Gerhardt,2/6/2024,Town Hall Seattle,Readings & Lectures,Downtown
76,Night Lovell,2/6/2024,The Showbox,Music,Downtown
77,Soja,2/6/2024,The Neptune Theatre,Music,University District
78,Kenny Barron Trio,2/6/2024 through 2/7/2024,Dimitriou's Jazz Alley,Music,Downtown
79,Dimiter,2/7/2024,Sunset Tavern,Music,Fremont / Ballard
80,Tamara Payne: The Life and Legacy of Malcolm X,2/7/2024,Town Hall Seattle,Readings & Lectures,Downtown
81,The Kills,2/7/2024,Showbox SoDo,Music,Pioneer Square
82,An Evening with Tina Campt: Black Feminist Visual Culture,2/8/2024,Town Hall Seattle,Readings & Lectures,Downtown
83,Art and Transformation,2/8/2024,Bainbridge Island Museum of Art,Readings & Lectures,West
84,Eric Bellinger,2/8/2024,The Showbox,Music,Downtown
85,Futurebirds and Nude Party,2/8/2024,The Neptune Theatre,Music,University District
86,Ilana Glazer Live,2/8/2024,The Moore Theatre,Theatre,Downtown
87,Mister Blank,2/8/2024,Nectar Lounge,Music,Fremont / Ballard
88,The Thorn,2/8/2024 through 2/9/2024,The Paramount Theatre,Theatre,Downtown
89,Barry Can’t Swim,2/9/2024,Neumos,Music,Capitol Hill / Central District
90,Dark Star Orchestra,2/9/2024,The Showbox,Music,Downtown
91,Gov’t Mule,2/9/2024,The Moore Theatre,Music,Downtown
92,Ijeoma Oluo: Be A Revolution,2/9/2024,Town Hall Seattle,Readings & Lectures,Downtown
93,Mayer Hawthorne,2/9/2024,The Neptune Theatre,Music,University District
94,Moontricks,2/9/2024,The Crocodile,Music,Downtown
95,OBOE / OBOE,2/9/2024,415 Westlake,Music,Queen Anne / Seattle Center
96,Roots and Wings,2/9/2024,Rendezvous JewelBox Theater,Theatre,Downtown
97,Seattle Boat Show,2/2/2024 through 2/10/2024,Lumen Field,Festivals & Special Events,Pioneer Square
98,Randall Goosby Plays Mozart,2/8/2024 through 2/10/2024,Benaroya Hall,Music,Downtown
99,Art by Design,2/9/2024 through 2/10/2024,Seattle Design Center,Visual Arts & Galleries,Downtown
100,The Love Show,2/9/2024 through 2/10/2024,The Royal Room,Theatre,South Seattle
101,Brazilian Carnaval 2024,2/10/2024,The Crocodile,Music,Downtown
102,Chase Rice,2/10/2024,Showbox SoDo,Music,Pioneer Square
103,Joe “Mr. D”  Dombrowski,2/10/2024,The Moore Theatre,Theatre,Downtown
104,JVNA,2/10/2024,The Showbox,Music,Downtown
105,Linda From Work,2/10/2024,Barboza,Music,Capitol Hill / Central District
106,The Brother Brothers,2/10/2024,Tractor Tavern,Music,Fremont / Ballard
107,The Temptations &  The Four Tops,2/10/2024,The Paramount Theatre,Music,Downtown
108,Quixote Nuevo,Now through 2/11/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center
109,Kent Stowell’s Swan Lake,2/2/2024 through 2/11/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
110,Blood Sweat  and Tears,2/8/2024 through 2/11/2024,Dimitriou's Jazz Alley,Music,Downtown
111,Love at the Zoo,2/10/2024 through 2/11/2024,Point Defiance Zoo and Aquarium,Festivals & Special Events,South
112,Scott Bradlee’s Postmodern Jukebox,2/11/2024,The Paramount Theatre,Music,Downtown
113,Tourist and Amtrac,2/11/2024,The Showbox,Music,Downtown
114,6th Annual Sami Film Festival,2/9/2024 through 2/12/2024,Majestic Bay Theatres,Museums,Fremont / Ballard
115,Eliades Ochoa,2/13/2024,The Moore Theatre,Music,Downtown
116,K. Wayne Yang,2/13/2024,Town Hall Seattle,Readings & Lectures,Downtown
117,Juanes,2/14/2024,The Moore Theatre,Music,Downtown
118,Black Dogs,2/15/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
119,Hear Me Talkin’ to You: Womxn and Blues,2/15/2024,The Royal Room,Music,South Seattle
120,Maddie Zahm,2/15/2024,The Neptune Theatre,Music,University District
121,Silversun Pickups,2/15/2024,The Moore Theatre,Music,Downtown
122,The Brodies,2/15/2024,High Dive,Music,Fremont / Ballard
123,Cory Wong Winter 2024 Tour,2/16/2024,The Paramount Theatre,Music,Downtown
124,Left on Tenth,2/16/2024,High Dive,Music,Fremont / Ballard
125,Marlon Wayans,2/16/2024,The Moore Theatre,Theatre,Downtown
126,Riley Mulherkar: Album Release Show,2/16/2024,The Royal Room,Music,South Seattle
127,Yeah!,2/16/2024,Nectar Lounge,Music,Fremont / Ballard
128,Circa:Humans 2.0,2/15/2024 through 2/17/2024,Meany Center for the Performing Arts,Theatre,University District
129,Big Business,2/17/2024,Tractor Tavern,Music,Fremont / Ballard
130,David Wax Museum,2/17/2024,Fremont Abbey Arts Center,Music,Fremont / Ballard
131,Jon Batiste,2/17/2024,The Paramount Theatre,Music,Downtown
132,lespecial,2/17/2024,High Dive,Music,Fremont / Ballard
133,TobyMac Hits Deep 2024,2/17/2024,accesso ShoWare Center,Music,South
134,A Case for the Existence of God,2/2/2024 through 2/18/2024,ACT Theatre,Theatre,Downtown
135,Northwest Flower & Garden Festival,2/14/2024 through 2/18/2024,Seattle Convention Center,Festivals & Special Events,Downtown
136,The Princess Bride in Concert with the Seattle Symphony,2/14/2024 through 2/18/2024,Benaroya Hall,Music,Downtown
137,Mindi Abair Wine and Jazz Tour 2024,2/15/2024 through 2/18/2024,Dimitriou's Jazz Alley,Music,Downtown
138,Madonna,2/17/2024 through 2/18/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
139,Aqua Fools’ Day,2/18/2024,High Dive,Music,Fremont / Ballard
140,Dr. Joy Buolamwini,2/18/2024,Town Hall Seattle,Readings & Lectures,Downtown
141,La Nef: Red Sky at Night,2/18/2024,Town Hall Seattle,Music,Downtown
142,Love Beyond Border,2/18/2024,Benaroya Hall,Music,Downtown
143,"Meet the Author: Maggie Taft, The Chieftain and the Chair",2/18/2024,National Nordic Museum,Museums,Fremont / Ballard
144,Seattle Kraken vs. Detroit Red Wings,2/19/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
145,The Thrifted,2/19/2024,High Dive,Music,Fremont / Ballard
146,Black and Boujee,Now through 2/20/2024,Bainbridge Island Museum of Art,Museums,West
147,From Mozart to Matthews,2/20/2024,Benaroya Hall,Music,Downtown
148,Lukas Nelson,2/20/2024,The Showbox,Music,Downtown
149,Mahogany – smARTfilms: Black Luxury,2/20/2024,Bainbridge Island Museum of Art,Film & Media Arts,West
150,Robots Who Paint,2/20/2024,Town Hall Seattle,Readings & Lectures,Downtown
151,Trask,2/20/2024,High Dive,Music,Fremont / Ballard
152,"Wu Han, Philip Setzer & David Finckel",2/20/2024,Meany Center for the Performing Arts,Music,University District
153,The Cookers,2/20/2024 through 2/21/2024,Dimitriou's Jazz Alley,Music,Downtown
154,Cesar Cuauhtemoc Garcia Hernandez,2/21/2024,Town Hall Seattle,Readings & Lectures,Downtown
155,Side-by-Side with Seattle Youth Symphony Orchestra,2/21/2024,Benaroya Hall,Music,Downtown
156,Bailen,2/22/2024,The Crocodile,Music,Downtown
157,Dr. Charan Ranganath,2/22/2024,Town Hall Seattle,Readings & Lectures,Downtown
158,Mountain Holler,2/22/2024,High Dive,Music,Fremont / Ballard
159,Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
160,Shabaka,2/22/2024,Town Hall Seattle,Music,Downtown
161,Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
162,BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown
163,Caligula’s Horse,2/23/2024,El Corazon,Music,Downtown
164,Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center
165,Tikkadoom and Nick Drummond,2/23/2024,The Royal Room,Music,South Seattle
166,Wreckno,2/23/2024,The Showbox,Music,Downtown
167,Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District
168,The Lower Depths,2/6/2024 through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District
169,Bassekou Kouyate and Vieux Farka Toure,2/22/2024 through 2/24/2024,Town Hall Seattle,Music,Downtown
170,Crystal Skies,2/24/2024,Nectar Lounge,Music,Fremont / Ballard
171,Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown
172,Nate Jackson,2/24/2024,The Moore Theatre,Theatre,Downtown
173,Pink Sweat$,2/24/2024,The Showbox,Music,Downtown
174,Root and Branch,2/24/2024,Town Hall Seattle,Music,Downtown
175,Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
176,Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District
177,Born With Teeth,2/1/2024 through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle
178,"Once More, Just For You",2/5/2024 through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake
179,Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside
180,Klezmer Starts Here: The Music of Abe Schwartz,2/25/2024,The Royal Room,Music,South Seattle
181,Telling the Story,2/25/2024,Town Hall Seattle,Readings & Lectures,Downtown
182,Cherry Glazerr,2/26/2024,Neumos,Music,Capitol Hill / Central District
183,Dick & Angel Dare to Do It,2/26/2024,The Paramount Theatre,Theatre,Downtown
184,Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
185,Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown
186,Big Tooth,2/27/2024,Sea Monster Lounge,Music,Wallingford / Greenlake
187,Eric Klinenberg,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown
188,Fresh Dressed – smARTfilms: Black Luxury,2/27/2024,Bainbridge Island Museum of Art,Museums,West
189,Joy Harjo,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown
190,Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown
191,Dianne Reeves,2/28/2024,Town Hall Seattle,Music,Downtown
192,Kassa Overall,2/28/2024,Nectar Lounge,Music,Fremont / Ballard
193,Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
194,Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center
195,Seattle Museum Month,2/1/2024 through 2/29/2024,Downtown Seattle,Museums,Downtown
196,JNA and Tavia Rhodes,2/29/2024,The Royal Room,Music,South Seattle
197,Julian Lage,2/29/2024,Town Hall Seattle,Music,Downtown
198,MarchFourth,2/29/2024,Nectar Lounge,Music,Fremont / Ballard
199,Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
200,The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District
201,Enjambre,3/1/2024,Nectar Lounge,Music,Fremont / Ballard
202,Fall Out Boy,3/1/2024,Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center
203,Global Rhythms: Justin Adams and Mauro Durante,3/1/2024,Town Hall Seattle,Music,Downtown
204,Sloane Crosley with Ben Gibbard,3/1/2024,Town Hall Seattle,Readings & Lectures,Downtown
205,Tacoma Stars vs. Harrisburg Heat,3/1/2024,accesso ShoWare Center,Sports,South
206,Tommy Emmanuel,3/1/2024,The Moore Theatre,Music,Downtown
207,Facades,2/1/2024 through 3/2/2024,Harris Harvey Gallery,Visual Arts & Galleries,Downtown
208,Conrad Tao’s Playlist,3/1/2024 through 3/2/2024,Benaroya Hall,Music,Downtown
209,Crypta,3/2/2024,El Corazon,Music,Downtown
210,Seattle Kraken vs. Edmonton Oilers,3/2/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
211,Seattle Sounders FC vs. Austin FC,3/2/2024,Lumen Field,Sports,Pioneer Square
212,Emerald City Comic Con,2/29/2024 through 3/3/2024,Seattle Convention Center,Festivals & Special Events,Downtown
213,Briscoe,3/3/2024,Tractor Tavern,Music,Fremont / Ballard
214,Tacoma Stars vs. Harrisburg Heat,3/3/2024,accesso ShoWare Center,Music,South
215,Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024,Bainbridge Island Museum of Art,Museums,West
216,Atlus,3/7/2024,Nectar Lounge,Music,Fremont / Ballard
217,Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center
218,Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown
219,Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
220,X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
221,Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown
222,Ariel Pink,3/9/2024,El Corazon,Music,Downtown
223,Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District
224,Josiah and the Bonnevilles,3/9/2024,Barboza,Music,Capitol Hill / Central District
225,Mahan Esfahan,3/9/2024,Town Hall Seattle,Music,Downtown
226,Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside
227,Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District
228,Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard
229,Luchadora!,2/22/2024 through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
230,Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown
231,Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
232,Seattle Kraken vs. Washington Capitals,3/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
233,Autoheart,3/15/2024,El Corazon,Music,Downtown
234,The Snuts,3/15/2024,Barboza,Music,Capitol Hill / Central District
235,Mark Morris Dance Group: The Look of Love,3/14/2024 through 3/16/2024,Meany Center for the Performing Arts,Music,University District
236,Sibelius & Nielsen,3/14/2024 through 3/16/2024,Benaroya Hall,Music,Downtown
237,Tacoma Stars vs. Chihuahua Savage,3/15/2024 through 3/16/2024,accesso ShoWare Center,Sports,South
238,Seattle Kraken vs. Nashville Predators,3/16/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
239,Seattle Sounders FC vs. Colorado Rapids,3/16/2024,Lumen Field,Sports,Pioneer Square
240,Native Portraiture: Power and Perception,Now through 3/17/2024,Tacoma Art Museum,Museums,South
241,Places to Call Home: Settlements in the West,Now through 3/17/2024,Tacoma Art Museum,Museums,South
242,Nobody Lives Here,Now through 3/17/2024,Wing Luke Museum,Museums,International District
243,Rootabaga Country,3/8/2024 through 3/17/2024,Opera Center,Music,Queen Anne / Seattle Center
244,Seattle Kraken vs. Buffalo Sabres,3/18/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
245,Tacoma Stars vs. Empire Strykers,3/23/2024,accesso ShoWare Center,Sports,South
246,Something’s Afoot,3/1/2024 through 3/24/2024,The 5th Avenue Theatre,Theatre,Downtown
247,One Thousand Pieces,3/15/2024 through 3/24/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
248,Simon Trpceski Plays Tchaikovsky,3/21/2024 through 3/24/2024,Benaroya Hall,Music,Downtown
249,Celebrate Holi! Spring Festival of Colors from South Asia,3/24/2024,Burke Museum,Museums,University District
250,Seattle Kraken vs. Montreal Canadiens,3/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
251,Seattle Kraken vs. Anaheim Ducks,3/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
252,Seattle Kraken vs. Anaheim Ducks,3/28/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
253,Tim McGraw,3/29/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
254,Harold and the Purple Crayon,3/23/2024 through 3/30/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
255,Monster Jam,3/30/2024,Lumen Field,Festivals & Special Events,Pioneer Square
256,Seattle Kraken vs. Dallas Stars,3/30/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
257,Illuminate: Glass Art for Early Learners,Now through 3/31/2024,Museum of Glass,Museums,South
258,Al Young’s 1970 Dodge Challenger Drag Racer,Now through 3/31/2024,Museum of History & Industry,Museums,Queen Anne / Seattle Center
259,Shine On Seattle,Now through 3/31/2024,Pioneer Square,Festivals & Special Events,Pioneer Square
260,Sanctuary City,3/1/2024 through 3/31/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center
261,Stew,3/15/2024 through 3/31/2024,ACT Theatre,Theatre,Downtown
262,Luis Miguel,4/4/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
263,Taylor Raven and Duke Kim in Recital,4/4/2024,Opera Center,Music,Queen Anne / Seattle Center
264,Jo Koy,4/5/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
265,Copland Appalachian Spring,4/4/2024 through 4/6/2024,Benaroya Hall,Music,Downtown
266,Seattle Sounders FC vs. CF Montreal,4/6/2024,Lumen Field,Sports,Pioneer Square
267,Tom Segura,4/6/2024,Climate Pledge Arena,Theatre,Queen Anne / Seattle Center
268,La Vaughn Belle: A History of Unruly Returns,Now through 4/7/2024,National Nordic Museum,Museums,Fremont / Ballard
269,Beetlejuice,4/2/2024 through 4/7/2024,The Paramount Theatre,Theatre,Downtown
270,Seattle Kraken vs. Arizona Coyotes,4/9/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
271,Seattle Kraken vs. San Jose Sharks,4/11/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
272,The Percussion: Sounds from Home,4/12/2024 through 4/13/2024,Benaroya Hall,Music,Downtown
273,Honoring 50 Years of Papunya Tula Painting,Now through 4/14/2024,Seattle Art Museum,Museums,Downtown
274,The Moors,3/22/2024 through 4/14/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake
275,Mahler Symphony No. 3,4/11/2024 through 4/14/2024,Benaroya Hall,Music,Downtown
276,Best of the Northwest Spring Show,4/13/2024 through 4/14/2024,Magnuson Park,Festivals & Special Events,University District
277,An Evening with Jinjoo Cho,4/19/2024,415 Westlake,Music,Queen Anne / Seattle Center
278,Dvorak Symphony No. 6,4/18/2024 through 4/20/2024,Benaroya Hall,Music,Downtown
279,Seattle Sounders FC vs. Vancouver Whitecaps FC,4/20/2024,Lumen Field,Sports,Pioneer Square
280,The Seasons’ Canon,4/12/2024 through 4/21/2024,Marion Oliver McCaw Hall,Dance,Queen Anne / Seattle Center
281,DRUM TAO 30th Anniversary,4/22/2024,Benaroya Hall,Music,Downtown
282,AJR,4/26/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
283,Disney’s Aladdin,4/24/2024 through 4/28/2024,The Paramount Theatre,Theatre,Downtown
284,Antarctic Symphony,4/25/2024 through 4/28/2024,Benaroya Hall,Music,Downtown
285,Noah Geller’s Playlist,5/3/2024 through 5/4/2024,Benaroya Hall,Music,Downtown
286,Broadway Spectacular,5/4/2024,Cornish Playhouse at Seattle Center,Music,Queen Anne / Seattle Center
287,Jessica Jackson Hutchins: Wrecked and Righteous,Now through 5/5/2024,Frye Art Museum,Museums,Capitol Hill / Central District
288,The Lion Tells His Tale,5/1/2024 through 5/5/2024,Broadway Performance Hall,Theatre,Capitol Hill / Central District
289,Seattle Sounders FC vs. LA Galaxy,5/5/2024,Lumen Field,Sports,Pioneer Square
290,Melanie Martinez,5/10/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center
291,"Guma’ Gela:  Part Land, Part Sea, All Ancestry",Now through 5/12/2024,Wing Luke Museum,Museums,International District
292,Jaune Quick-to-See Smith: Memory Map,2/29/2024 through 5/12/2024,Seattle Art Museum,Museums,Downtown
293,Fat Ham,4/12/2024 through 5/12/2024,Seattle Rep,Theatre,Queen Anne / Seattle Center
294,A Tale of Peter Rabbit,4/25/2024 through 5/12/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center
295,The Lehman Trilogy,4/26/2024 through 5/12/2024,ACT Theatre,Theatre,Downtown
296,The Untold Story of Sharks | National Geographic Live,5/12/2024 through 5/14/2024,Benaroya Hall,Readings & Lectures,Downtown
297,Seattle Storm vs Minnesota Lynx,5/14/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
298,Mother,5/17/2024,415 Westlake,Music,Queen Anne / Seattle Center
299,Barber Violin Concerto,5/16/2024 through 5/18/2024,Benaroya Hall,Music,Downtown
300,Seattle Sounders FC vs. Vancouver Whitecaps FC,5/18/2024,Lumen Field,Sports,Pioneer Square
301,Seattle Storm vs. Indiana Fever,5/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
302,The Barber of Seville,5/4/2024 through 5/24/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center
303,Seattle Storm vs. Washington Mystics,5/25/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center
304,Seattle Sounders FC vs. Real Salt Lake,5/29/2024,Lumen Field,Sports,Pioneer Square
